code,date,in_people,out_people,name,line,address,x,y
424,20161224,63552.0,79979.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
424,20161225,54131.0,66066.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
424,20171224,48145.0,59114.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
424,20171225,55150.0,65283.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
425,20151224,37263.0,38252.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
425,20151225,24945.0,24225.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
425,20161224,33390.0,31929.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
425,20161225,15638.0,15175.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
425,20171224,15573.0,15617.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
425,20171225,23182.0,22859.0,회현,04호선,서울 중구 퇴계로 지하 54,126.978238128257,37.558536761057404
426,20151224,14302.0,25447.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
426,20151225,7932.0,19891.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
426,20161224,10037.0,21266.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
426,20161225,7224.0,16905.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
426,20171224,7710.0,18338.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
426,20171225,7797.0,18712.0,서울역,04호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
427,20151224,20161.0,19369.0,숙대입구,04호선,서울특별시 용산구 한강대로 지하 306(갈월동) (숙대입구역),126.97211812737301,37.5445952301115
429,20151224,16998.0,17869.0,신용산,04호선,서울특별시 용산구 한강대로 지하 112(한강로2가) (신용산역),126.967965039183,37.5292591489375
432,20151224,27243.0,30343.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
432,20151225,16531.0,17848.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
432,20161224,19532.0,21804.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
432,20161225,14417.0,15916.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
432,20171224,13457.0,15021.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
432,20171225,13865.0,15581.0,총신대입구,04호선,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.486799595799496
433,20151224,37609.0,28267.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
433,20151225,23389.0,18594.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
433,20161224,26187.0,22233.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
433,20161225,19754.0,17387.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
433,20171224,19621.0,16044.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
433,20171225,18679.0,15716.0,사당,04호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
1003,20151224,50398.0,49914.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1003,20151225,44412.0,47669.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1003,20161224,45969.0,49272.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1003,20161225,39887.0,38255.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1003,20171224,44880.0,45151.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1003,20171225,48303.0,45436.0,용산,01호선,서울 용산구 한강대로23길 55,126.964824061815,37.530076364579394
1004,20151224,24883.0,23483.0,노량진,01호선,서울 동작구 노량진로 174,126.94539228083099,37.5136064876753
1004,20151225,22774.0,21328.0,노량진,01호선,서울 동작구 노량진로 174,126.94539228083099,37.5136064876753
1004,20161224,19155.0,17383.0,노량진,01호선,서울 동작구 노량진로 174,126.94539228083099,37.5136064876753
1006,20151224,63096.0,68463.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1006,20151225,59444.0,61517.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1006,20161224,64764.0,68235.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1006,20161225,54574.0,54940.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1006,20171224,53030.0,54483.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1006,20171225,53607.0,53546.0,영등포,01호선,서울 영등포구 경인로 846,126.90787602747,37.5156836953862
1015,20151224,35200.0,33647.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1015,20151225,24361.0,23180.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1015,20161224,27428.0,25703.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1015,20161225,21472.0,21141.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1015,20171224,22649.0,21869.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1015,20171225,19899.0,20014.0,회기,01호선,서울 동대문구 경희대로 23,127.05262140539699,37.5954655474126
1701,20151224,26101.0,26912.0,구로,01호선,서울 구로구 구로중앙로 174,126.88225041102301,37.5033243797635
1701,20151225,15509.0,16672.0,구로,01호선,서울 구로구 구로중앙로 174,126.88225041102301,37.5033243797635
1701,20161224,19023.0,20296.0,구로,01호선,서울 구로구 구로중앙로 174,126.88225041102301,37.5033243797635
1701,20161225,15250.0,15489.0,구로,01호선,서울 구로구 구로중앙로 174,126.88225041102301,37.5033243797635
1702,20151224,20616.0,23913.0,가산디지털단지,01호선,서울특별시 금천구 벚꽃로 309 (가산동),126.882661758356,37.4803959660982
1714,20151224,19305.0,19830.0,독산,01호선,서울 금천구 시흥대로 334,126.897847325412,37.4633309522334
1801,20151224,26911.0,26856.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1801,20151225,17338.0,16751.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1801,20161224,21894.0,21581.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1801,20161225,16574.0,16074.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1801,20171224,15675.0,15152.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1801,20171225,17267.0,17068.0,개봉,01호선,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
1813,20171225,14980.0,16854.0,구일,01호선,서울특별시 구로구 구로1동,126.86741029999999,37.496272999999995
2517,20151224,20118.0,19277.0,우장산,05호선,서울특별시 강서구 강서로 지하262 (화곡동),126.836327173846,37.5488160380135
2518,20151224,35278.0,32490.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2518,20151225,21173.0,19656.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2518,20161224,25517.0,23604.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2518,20161225,18327.0,17394.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2518,20171224,18111.0,16903.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2518,20171225,19109.0,18471.0,화곡,05호선,서울특별시 강서구 화곡로 지하168 (화곡동),126.840455026335,37.5416507925709
2519,20151224,36048.0,33817.0,까치산,05호선,서울특별시 강서구 강서로 지하54 (화곡동),126.846444264065,37.5322306724471
2519,20151225,22543.0,21321.0,까치산,05호선,서울특별시 강서구 강서로 지하54 (화곡동),126.846444264065,37.5322306724471
2519,20161224,26164.0,24752.0,까치산,05호선,서울특별시 강서구 강서로 지하54 (화곡동),126.846444264065,37.5322306724471
2519,20161225,20144.0,19336.0,까치산,05호선,서울특별시 강서구 강서로 지하54 (화곡동),126.846444264065,37.5322306724471
