name,code,eng_name,line,out_code,address,x,y
한양대,209,Hanyang Univ.,02호선,209,서울특별시 성동구 왕십리로 206 (한양대역),127.04364001688,37.5557175386988
합정,238,Hapjeong,02호선,238,서울특별시 마포구 양화로 지하45 (합정동),126.914457705386,37.5499122011964
합정,238,Hapjeong,02호선,238,서울특별시 마포구 양화로 지하 55 (2호선 합정역),126.914457705386,37.5499122011964
홍대입구,239,Hongik Univ.,02호선,239,서울특별시 마포구 양화로지하160 (2호선 홍대입구역),126.923778562273,37.5568707448873
가락시장,340,Garak Market,03호선,350,서울특별시 송파구 송파대로 지하257 (가락동),127.118262745146,37.4930992522183
가락시장,340,Garak Market,03호선,350,서울특별시 송파구 송파대로 지하 257 (3호선 가락시장역),127.118262745146,37.4930992522183
경복궁,317,Gyeongbokgung,03호선,327,서울특별시 종로구 사직로 지하 130 (경복궁역),126.973691352767,37.5758061234865
경찰병원,341,National Police Hospital,03호선,351,서울특별시 송파구 중대로 지하 149 (경찰병원역),127.124482397777,37.4960049150853
고속터미널,329,Express Bus Terminal,03호선,339,서울 서초구 신반포로 지하 188,127.005139104471,37.5045533598139
고속터미널,329,Express Bus Terminal,03호선,339,서울 서초구 신반포로 지하 188,127.005139104471,37.5045533598139
교대,330,Seoul Nat`l Univ. of Education,03호선,340,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.0120398,37.4934705
교대,330,Seoul Nat`l Univ. of Education,03호선,340,서울특별시 서초구 서초대로 지하 294 (3호선 교대역),127.0120398,37.4934705
구파발,310,Gupabal,03호선,320,서울특별시 은평구 진관2로 지하 15-25 (구파발역),126.918852820009,37.6364357889145
금호,324,Geumho,03호선,334,서울특별시 성동구 동호로 지하 104 (금호역),127.015829169834,37.5482627248715
남부터미널,331,Nambu Bus Terminal,03호선,341,서울특별시 서초구 서초중앙로 지하 31 (남부터미널역),127.01620028391,37.4851996335293
녹번,313,Nokbeon,03호선,323,서울 은평구 통일로62길 17,126.935828008217,37.6008067681825
대곡,1953,Daegok,03호선,314,경기 고양시 덕양구 대주로107번길 71-81,126.810930563348,37.6316971084027
대청,337,Daecheong,03호선,347,서울특별시 강남구 일원로 지하 2 (대청역),127.07952699005,37.4937083222418
대치,335,Daechi,03호선,345,서울특별시 강남구 남부순환로 지하 2952 (대치역),127.063203409529,37.4944966528582
대화,1958,Daehwa,03호선,309,경기 고양시 일산서구 중앙로 지하 1569,126.747500970967,37.676157377075
도곡,334,Dogok,03호선,344,서울특별시 강남구 남부순환로 지하 2814 (3호선 도곡역),127.055499135761,37.490974406085
독립문,316,Dongnimmun,03호선,326,서울특별시 서대문구 통일로 지하 247 (독립문역),126.957916500407,37.5744683797273
동대입구,322,Dongguk Univ.,03호선,332,서울특별시 중구 동호로 지하 256 (동대입구역),127.005314877093,37.5590540173075
마두,1955,Madu,03호선,312,경기 고양시 일산동구 중앙로 지하 1180,126.777611729721,37.6522411365818
매봉,333,Maebong,03호선,343,서울특별시 강남구 남부순환로 지하 2744 (매봉역),127.046711448388,37.4869394661317
무악재,315,Muakjae,03호선,325,서울특별시 서대문구 통일로 지하 361 (무악재역),126.950230954136,37.5825632263526
백석,1954,Baekseok,03호선,313,경기 고양시 일산동구 중앙로 지하 1042,126.788131509803,37.6429623651607
불광,312,Bulgwang,03호선,322,서울특별시 은평구 통일로 지하723-1 (대조동),126.930315855716,37.6100474511107
불광,312,Bulgwang,03호선,322,서울특별시 은평구 통일로 지하 723-1 3호선 (불광역),126.930315855716,37.6100474511107
수서,339,Suseo,03호선,349,서울 강남구 밤고개로 99,127.104469788175,37.4852951142482
신사,327,Sinsa,03호선,337,서울특별시 강남구 도산대로 지하 102 (신사역),127.020312023096,37.5164366431169
압구정,326,Apgujeong,03호선,336,서울특별시 강남구 압구정로 지하 172 (압구정역),127.0285086593,37.5264921751712
약수,323,Yaksu,03호선,333,서울특별시 중구 다산로 지하115 (신당동),127.010891666957,37.5545053994984
약수,323,Yaksu,03호선,333,서울특별시 중구 다산로 지하 122 (3호선 약수역),127.010891666957,37.5545053994984
양재,332,Yangjae,03호선,342,서울특별시 서초구 남부순환로 지하 2585 (3호선 양재역),127.034164133397,37.4845759109484
연신내,311,Yeonsinnae,03호선,321,서울특별시 은평구 통일로 지하849 (갈현동),126.921100623409,37.6192027064253
연신내,311,Yeonsinnae,03호선,321,서울특별시 은평구 통일로 지하 849 3호선 (연신내역),126.921100623409,37.6192027064253
오금,342,Ogeum,03호선,352,서울특별시 송파구 오금로 지하321 (오금동),127.127953219596,37.5021388575469
오금,342,Ogeum,03호선,352,서울특별시 송파구 오금로 지하 321 (3호선 오금역),127.127953219596,37.5021388575469
원흥,1948,Wonheung,03호선,317,경기 고양시 덕양구 권율대로 681,126.873024910144,37.6506907611262
을지로3가,320,Euljiro 3(sam)-ga,03호선,330,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
을지로3가,320,Euljiro 3(sam)-ga,03호선,330,서울특별시 중구 을지로 지하 129 (3호선 을지로3가역),126.9909855674,37.5662905969967
일원,338,Irwon,03호선,348,서울특별시 강남구 일원로 지하 121 (일원역),127.084129757128,37.4839886684666
잠원,328,Jamwon,03호선,338,서울특별시 서초구 잠원로 4길 지하 46 (잠원역),127.011419491429,37.5128899169357
종로3가,319,Jongno 3(sam)-ga,03호선,329,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
종로3가,319,Jongno 3(sam)-ga,03호선,329,서울특별시 종로구 종로 지하 129 (종로3가) (1호선 종로3가역),126.992153252476,37.570420844523
종로3가,319,Jongno 3(sam)-ga,03호선,329,서울특별시 종로구 돈화문로 지하 30 (묘동) (3호선 종로3가역),126.992153252476,37.570420844523
주엽,1957,Juyeop,03호선,310,경기 고양시 일산서구 중앙로 지하 1432,126.761263524195,37.6701494878278
지축,309,Jichuk,03호선,319,경기 고양시 덕양구 삼송로 300,126.913853659548,37.6481477713412
충무로,321,Chungmuro,03호선,331, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
