,code,date,in_people,out_people,name,line,address,x,y
139,215,20151225,9444.0,8789.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
140,215,20161224,11934.0,11057.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
141,215,20161225,7990.0,7914.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
142,215,20171224,8269.0,7584.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
143,215,20171225,8309.0,8214.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
144,216,20151224,122754.0,120256.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
145,216,20151225,113948.0,107216.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
146,216,20161224,123687.0,116674.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
147,216,20161225,93327.0,87692.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
148,216,20171224,111020.0,104524.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
149,216,20171225,112664.0,106764.0,잠실,02호선,서울특별시 송파구 올림픽로 305 (신천동),127.10022875908199,37.513312862698996
150,219,20151224,70976.0,71863.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
151,219,20151225,43568.0,45442.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
152,219,20161224,54529.0,56178.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
153,219,20161225,44448.0,45754.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
154,219,20171224,57006.0,58494.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
155,219,20171225,55093.0,55702.0,삼성,02호선,서울특별시,127.06096029999999,37.508860999999996
156,220,20151224,71915.0,59353.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
157,220,20151225,17033.0,14685.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
158,220,20161224,26700.0,22577.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
159,220,20161225,14199.0,11815.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
160,220,20171224,15718.0,13345.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
161,220,20171225,16125.0,13676.0,선릉,02호선,서울 강남구 테헤란로 지하 340,127.04896169402201,37.504497373492
162,221,20151224,59180.0,62756.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
163,221,20151225,15739.0,16773.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
164,221,20161224,20910.0,22258.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
165,221,20161225,12818.0,13044.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
166,221,20171224,14298.0,14790.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
167,221,20171225,13924.0,14585.0,역삼,02호선,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
168,222,20151224,119979.0,123204.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
169,222,20151225,59216.0,62847.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
170,222,20161224,81488.0,87076.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
171,222,20161225,53824.0,54283.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
172,222,20171224,57230.0,61953.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
173,222,20171225,60849.0,61701.0,강남,02호선,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
174,223,20151224,62276.0,62199.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
175,223,20151225,19674.0,19653.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
176,223,20161224,29602.0,29466.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
177,223,20161225,17814.0,17655.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
178,223,20171224,18193.0,18203.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
179,223,20171225,18389.0,18270.0,교대,02호선,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.01203980000001,37.4934705
180,224,20151224,25707.0,25408.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
